artist,album,song,listen_date,genre
Julien Baker,boygenius,Bite The Hand,"03 Dec 2018, 20:21",test
Yvette Young,Acoustics - EP,The Tide,"03 Dec 2018, 20:18",test
Yvette Young,Acoustics 2 - EP,Tender,"03 Dec 2018, 20:12",test
Analogue Dear,Rivulets,Rivulets,"03 Dec 2018, 20:08",test
Yvette Young,Acoustics 2 - EP,Holiday,"03 Dec 2018, 20:04",test
Yvette Young,Acoustics 2 - EP,Adventure Spirit,"03 Dec 2018, 19:59",test
Grouper,Paradise Valley,I'm Clean Now,"03 Dec 2018, 19:56",test
Elliott Smith,XO,I Didn't Understand,"03 Dec 2018, 19:51",test
Elliott Smith,XO,"Everybody Cares, Everybody Understands","03 Dec 2018, 19:46",test
Elliott Smith,XO,A Question Mark,"03 Dec 2018, 19:44",test
Elliott Smith,XO,Bottle Up And Explode!,"03 Dec 2018, 19:41",test
Elliott Smith,XO,"Oh Well, Okay","03 Dec 2018, 19:38",test
Elliott Smith,XO,Amity,"03 Dec 2018, 19:36",test
Elliott Smith,XO,Waltz #1,"03 Dec 2018, 19:32",test
Elliott Smith,XO,Bled White,"03 Dec 2018, 19:29",test
Elliott Smith,XO,Independence Day,"03 Dec 2018, 19:26",test
Elliott Smith,XO,Pitseleh,"03 Dec 2018, 19:23",test
Elliott Smith,XO,Baby Britain,"03 Dec 2018, 19:19",test
Elliott Smith,XO,Waltz #2 (XO),"03 Dec 2018, 19:15",test
Elliott Smith,XO,Tomorrow Tomorrow,"03 Dec 2018, 19:12",test
Elliott Smith,XO,Sweet Adeline,"03 Dec 2018, 18:56",test
Chinese Football,Chinese Football,Game Start,"03 Dec 2018, 18:51",test
Devarrow,The Great Escape,1984,"03 Dec 2018, 18:47",test
Manchester Orchestra,Allentown,Allentown,"03 Dec 2018, 18:44",test
Phoebe Bridgers,Christmas Song,Christmas Song,"03 Dec 2018, 18:40",test
Phoebe Bridgers,Have Yourself a Merry Little Christmas,Have Yourself a Merry Little Christmas,"03 Dec 2018, 18:37",test
Phoebe Bridgers,Stranger in the Alps,Smoke Signals (Reprise),"03 Dec 2018, 18:37",test
Phoebe Bridgers,Stranger in the Alps,Smoke Signals (Reprise),"03 Dec 2018, 18:36",test
Phoebe Bridgers,Stranger in the Alps,You Missed My Heart,"03 Dec 2018, 18:29",test
Phoebe Bridgers,Stranger in the Alps,Would You Rather,"03 Dec 2018, 18:26",test
Phoebe Bridgers,Stranger in the Alps,Chelsea,"03 Dec 2018, 18:21",test
Phoebe Bridgers,Stranger in the Alps,Georgia,"03 Dec 2018, 18:17",test
Phoebe Bridgers,Stranger in the Alps,Killer,"03 Dec 2018, 18:14",test
Phoebe Bridgers,Stranger in the Alps,Scott Street,"03 Dec 2018, 18:09",test
Phoebe Bridgers,Stranger in the Alps,Demi Moore,"03 Dec 2018, 18:05",test
Phoebe Bridgers,Stranger in the Alps,Funeral,"03 Dec 2018, 18:02",test
Phoebe Bridgers,Stranger in the Alps,Motion Sickness,"03 Dec 2018, 17:58",test
Phoebe Bridgers,Stranger in the Alps,Smoke Signals,"03 Dec 2018, 17:53",test
The 1975,A Brief Inquiry Into Online Relationships,Sincerity Is Scary,"03 Dec 2018, 17:48",test
The 1975,A Brief Inquiry Into Online Relationships,Sincerity Is Scary,"03 Dec 2018, 17:48",test
The 1975,A Brief Inquiry Into Online Relationships,I Like America & America Likes Me,"03 Dec 2018, 17:48",test
The 1975,A Brief Inquiry Into Online Relationships,TOOTIMETOOTIMETOOTIME,"03 Dec 2018, 17:40",test
The 1975,A Brief Inquiry Into Online Relationships,Be My Mistake,"03 Dec 2018, 17:40",test
The 1975,A Brief Inquiry Into Online Relationships,I Always Wanna Die (Sometimes),"03 Dec 2018, 17:34",test
The 1975,A Brief Inquiry Into Online Relationships,I Couldn't Be More In Love,"03 Dec 2018, 17:30",test
The 1975,A Brief Inquiry Into Online Relationships,Mine,"03 Dec 2018, 17:26",test
The 1975,A Brief Inquiry Into Online Relationships,Surrounded By Heads And Bodies,"03 Dec 2018, 17:22",test
The 1975,A Brief Inquiry Into Online Relationships,It's Not Living (If It's Not with You),"03 Dec 2018, 17:18",test
The 1975,A Brief Inquiry Into Online Relationships,Inside Your Mind,"03 Dec 2018, 17:14",test
The 1975,A Brief Inquiry Into Online Relationships,The Man Who Married A Robot / Love Theme,"03 Dec 2018, 17:10",test
The 1975,A Brief Inquiry Into Online Relationships,I Like America & America Likes Me,"03 Dec 2018, 17:07",test
The 1975,A Brief Inquiry Into Online Relationships,Sincerity Is Scary,"03 Dec 2018, 17:03",test
