artists,date,venue
Tiny Moving Parts and Mom Jeans,10-Feb-18,the Sinclair
Sorority Noise,4-Apr-18,the Paradise Rock Club
Lord Huron,30-Apr-18,the House of Blues
"The Killers, The National, and Julien Baker",23-May-18,Boston Calling
Japanese Breakfast,1-Jun-18,the Sinclair
Bon Iver,5-Aug-18,the LA Bowl
Mitski,20-Oct-18,the House of Blues
Mom Jeans,1-Nov-18,the ONCE Ballroom
Pinegrove,24-Nov-18,the Sinclair
Tiny Moving Parts,25-Nov-18,the House of Blues
